DETLOC,fullA.x,ObjectId,x,y,Name,City,County,State,Zip,Circuit,AOR,Docket,Type,Type.Detailed,ICE.Funded,Male.Female,Capacity,Current.FY.Utilization,Population.Count,Date.of.Last.Use,Date.of.First.Use,FirstYear,FY18.Max.Population.Count,Mandatory,Non.Mandatory,Medical.Provider.Onsite.,Provider.Type,Facility.Operator,Facility.Owner,Best.Known.Contract.Initiation.Date,Best.Known.Contract.Expiration.Date,YearExpiration,Guaranteed.Minimum,Per.Diem.Rate.Detailed,ICE.Telephone.Services,Authorization.Status,Authorizing.Authority,Over.Under.72,Contractually.Obligated.Inspection.Standard,PREA.Standard.2.11.Status,Last.Inspection.Pre.Occ.,Last.Inspection.Rating...Final,Last.Inspection.Rating...Recommended,Last.Inspection.Date,CY17.Rating,EMDD.Notes,EMDD.USE,ACA,NCCHC,JCHCO,DSM.Assigned.,DSM.Assignment.Type,FY18.Calendar.Days.in.Use
RRIVRIL,707 W. RIVERSIDE DR ROCKFORD IL,1112,-89.07199696,42.316366,ROCK RIVER HEALTH CARE,ROCKFORD,WINNEBAGO,IL,61103,7,CHI,,Other,HOSPITAL,No,Female/Male,0,,0,2/12/17,11/19/16,2016,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,OTHER,,,,No,,,,,,No,,,,No,,0
RSREGVA,1000 RIVER ROAD HOPEWELL VA,1101,-77.33057987,37.29871662,RIVERSIDE REGIONAL JAIL,HOPEWELL,HOPEWELL CITY,VA,23860,4,WAS,WAS,USMS IGA,USMS IGA,Yes,Female/Male,0,,0,9/25/14,11/3/97,1997,0,0,0,,,COUNTY (JAILER),,4/7/99,NA,#VALUE!,NA,$66.36 ,,NOT INSPECTED,DMCP,Under 72,Local Standards,,No,Superior,Deficient,8/27/09,,2008 DEFICIENT,Yes,NO,NO,NO,No,,0
RUNLSTX,200 S. HICKORY HILL BALLINGER TX,1121,-99.95852998,31.72059001,RUNNELS COUNTY JAIL,BALLINGER,RUNNELS,TX,76821,5,SNA,PIC,IGSA,IGSA,Yes,Female/Male,0,,0,4/29/04,12/30/02,2002,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
RUTHETN,940 NEW SALEM ROAD MURFREESBORO TN,1123,-86.40929866,35.8370218,RUTHERFORD COUNTY SHERIFF,MURFREESBORO,RUTHERFORD,TN,37129,6,NOL,NOL,IGSA,IGSA,Yes,Female/Male,0,,0,2/24/03,5/22/97,1997,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
RUTJVTN,400 WEST MAIN ST MURFREESBORO TN,1122,-86.39544204,35.84670502,RUTHERFORD COUNTY JUVENILE DETENTION CENTER,MURFREESBORO,RUTHERFORD,TN,37130,6,NOL,NOL,IGSA,JUVENILE,Yes,Female/Male,0,,0,9/5/03,11/27/02,2002,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,JFRMU,,,,No,,,,,,No,NO,NO,NO,No,,0
SAAHOLD,34 CIVIC CENTER PLAZA SANTA ANA CA,1172,-117.875044,33.74829698,SANTA ANA DRO HOLDROOM,SANTA ANA,ORANGE,CA,90701,9,LOS,LOS,Other,HOLD,Yes,Male,0,,0,6/5/17,11/1/07,2007,0,0,0,YES,IHSC,FEDERAL,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0
SACCOIA,100 SOUTH STATE STREET SAC CITY IA,1126,-94.98823318,42.42146903,SAC COUNTY JAIL,SAC CITY,SAC,IA,50583,8,SPM,OMA,IGSA,IGSA,Yes,Female/Male,0,,0,11/4/02,10/22/02,2002,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
SACHOLD,650 CAPITOL MALL SACRAMENTO CA,1128,-121.4999439,38.57767039,SACRAMENTO HOLD,SACRAMENTO,SACRAMENTO,CA,95814,9,SFR,SAC,Other,HOLD,Yes,Male,0,,0,10/26/17,6/25/00,2000,1,0,0,,,FEDERAL,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,1
SACITCA,62 CIVIC CENTER PLAZA SANTA ANA CA,1170,-117.8797972,33.75143721,SANTA ANA CITY JAIL,SANTA ANA,ORANGE,CA,92701,9,LOS,LOS,IGSA,IGSA,Yes,Female/Male,200,0%,0,5/8/17,6/12/97,1997,0,0,0,YES,NAPHCARE,CITY,CITY,7/1/15,6/30/20,2020,64,64 (GM); $105.00 (1-64) $105.00 (65-200),Pro-bono Platform (Talton),NOT INSPECTED,DMCP,Over 72,PBNDS 2011,PREA,No,Meets Standard,Meets Standard,6/9/16,,2007 and 2008 DEFICIENT,Yes,NO,NO,NO,No,NONE,0
SACRACA,651 I STREET SACRAMENTO CA,1127,-121.4974203,38.58315496,SACRAMENTO COUNTY JAIL,SACRAMENTO,SACRAMENTO,CA,95814,9,SFR,SAC,USMS IGA,USMS IGA,Yes,Female/Male,100,0%,0,7/31/17,5/20/97,1997,0,0,0,YES,COUNTY,COUNTY (SHERIFF),COUNTY,1/10/08,NA,#VALUE!,NA,$100.00 ,Pro-bono Platform (Talton),NOT INSPECTED,DMCP,Over 72,,,No,Acceptable,Acceptable,11/29/12,,2008 DEFICIENT,Yes,NO,NO,NO,No,,0
SAGHOLD,3197 EXECUTIVE DR SAN ANGELO TX,1143,-100.463802,31.421503,SAN ANGELO HOLDROOM,SAN ANGELO,TOM GREEN,TX,76904,5,DAL,,Other,HOLD,Yes,Female/Male,0,,0,4/2/17,4/2/17,2017,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,,,,No,,0
SAGUACO,530 5TH STREET SAGUACHE CO,1130,-106.13796,38.08497001,SAGUACHE COUNTY JAIL,SAGUACHE,SAGUACHE,CO,81149,10,DEN,DEN,IGSA,IGSA,Yes,Female/Male,0,,0,2/3/08,6/22/92,1992,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,Good,At-Risk,5/24/07,,,No,NO,NO,NO,No,,0
SAIHOLD,UNAVAILABLE SAIPAN MP,1136,145.72108,15.20756,SAIPAN HOLD,SAIPAN,SAIPAN,MP,96950,6,SFR,SAI,Other,HOLD,Yes,Female/Male,0,,0,10/23/17,5/8/14,2014,2,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,1
SAJHOLD,7 TABONUCO ST. SUITE 100 GUAYNABO PR,1157,-66.10669999,18.40526001,SAN JUAN STAGING FACILITY,GUAYNABO,GUAYNABO,PR,968,1,MIA,SAJ,Other,STAGING,Yes,Female/Male,22,0%,0,9/23/17,4/20/90,1990,0,0,0,NO,,MVM,ICE,1/19/07,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,Acceptable,Not Rated,10/2/13,,,No,NO,NO,NO,No,,0
SALEMNJ,125 CEMETERY ROAD WOODSTOWN NJ,1137,-75.35557017,39.62990677,SALEM COUNTY CORRECTIONAL FACILITY,WOODSTOWN,COUNTY,NJ,80898,3,NEW,NEW,USMS IGA,USMS IGA,Yes,Male,0,,2,11/4/17,5/9/86,1986,2,0,1,YES,COUNTY,COUNTY (SHERIFF),COUNTY,9/1/15,NA,#VALUE!,NA,$100.00 ,,NOT INSPECTED,DMCP,Under 72,FPBDS,,No,Acceptable,Acceptable,2/24/16,,,No,NO,NO,NO,No,NONE,35
SALINKS,251 N. 10TH SALINA KS,1138,-97.61363027,38.84434381,SALINE COUNTY JAIL,SALINA,SALINE,KS,67401,10,CHI,KAN,IGSA,IGSA,Yes,Female/Male,0,,0,4/26/05,7/11/95,1995,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,$60.36 ,,NOT INSPECTED,DMCP,Under 72,,,No,Superior,Deficient,2/11/09,,2008 and 2009 DEFICIENT,Yes,NO,NO,NO,No,,0
SAMBCMI,5555 CONNER AVENUE SUITE 3 NORTH DETROIT MI,1142,-82.98215999,42.39024799,SAMARITAN BEHAVIORAL CENTER,DETROIT,COUNTY,MI,48213,6,DET,,Other,HOSPITAL,No,Female/Male,0,,1,11/4/17,3/27/13,2013,1,0,1,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,OTHER,,,,No,,,,,,No,,,,No,,35
SANANCA,1050 CIVIC CENTER DRIVE SANTA ANA CA,1171,-117.87982,33.75138001,SANTA ANA COUNTY JAIL,SANTA ANA,ORANGE,CA,92703,9,LOS,LOS,IGSA,IGSA,Yes,Female/Male,0,,0,12/9/09,1/2/97,1997,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
SANDONM,100 MONTOYA ROAD BERNALILLO NM,1167,-106.6777277,35.0945522,SANDOVAL COUNTY DETENTION CENTER,BERNALILLO,SANDOVAL,NM,87004,10,ELP,ELP,IGSA,IGSA,Yes,Female/Male,0,,0,3/7/12,3/25/99,1999,0,0,0,YES,,COUNTY,,NA,NA,#VALUE!,NA,$67.00 ,,NOT INSPECTED,DMCP,Under 72,,,No,Superior,Acceptable,5/6/08,,,No,NO,NO,NO,No,,0
SANJAIL,1 SHERIFFS PLAZA SPRINGFIELD IL,1169,-89.64356393,39.80042142,SANGAMON COUNTY JAIL,SPRINGFIELD,SANGAMON,IL,62701,7,CHI,CHI,USMS IGA,USMS IGA,Yes,Male,10,1%,0,10/17/17,4/13/89,1989,1,0,0,YES,COUNTY,COUNTY (SHERIFF),COUNTY,8/11/86,NA,#VALUE!,NA,$53.50 ,,AUTHORIZED,DMCP,Under 72,Local Standards,,No,Acceptable,,9/5/17,Acceptable,,Yes,NO,NO,NO,No,NONE,3
SANMINM,26 NM 283 LAS VEGAS NM,1162,-105.22875,35.55818,SAN MIGUEL COUNTY DETENTION CENTER,LAS VEGAS,SAN MIGUEL,NM,87701,10,ELP,EPC,IGSA,IGSA,Yes,Female/Male,0,,0,10/3/01,5/16/97,1997,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,Good,Deficient,3/26/07,,,No,NO,NO,NO,No,,0
SANPATX,300 NORTH RACHAL AVENUE SINTON TX,1164,-97.51039261,28.03897734,SAN PATRICIO COUNTY JAIL,SINTON,SAN PATRICIO,TX,78387,5,SNA,SNA,IGSA,IGSA,Yes,Female/Male,0,,0,2/2/99,5/30/98,1998,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
SANTACR,2170 NORTH CONGRESS DRIVE NOGALES AZ,1317,-110.9403444,31.37027658,TONY ESTRADA LAW ENFORCEMENT CENTER,NOGALES,SANTA CRUZ,AZ,85621,9,PHO,PHO,IGSA,IGSA,Yes,Female/Male,0,,0,NA,NA,#VALUE!,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Over 72,,,No,Superior,Acceptable,7/20/11,,,No,NO,NO,NO,No,,0
SANTANM,2515 CAMINO ENTRADA SANTA FE NM,1180,-106.019968,35.63600702,SANTA FE COUNTY JAIL,SANTA FE,SANTA FE,NM,87507,10,ELP,ELP,IGSA,IGSA,Yes,Female/Male,0,,0,7/13/15,3/3/99,1999,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
SARASFL,2020 MAIN ST SARASOTA FL,1182,-82.52949003,27.33605799,SARASOTA COUNTY JAIL,SARASOTA,SARASOTA,FL,34237,11,MIA,TAM,IGSA,IGSA,Yes,Female/Male,0,,0,2/14/05,12/22/95,1995,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
SARJUNE,1257 GOLDENGATE DRIVE #8 PAPILLION NE,1184,-96.03925801,41.14118499,SARPY COUNTY JUVENILE,PAPILLION,CASS,NE,68048,8,SPM,OMA,IGSA,JUVENILE,Yes,Female/Male,0,,0,4/10/14,4/14/99,1999,0,0,0,YES,,COUNTY,,NA,NA,#VALUE!,NA,$257.00 ,,NOT INSPECTED,JFRMU,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0
SARPYNE,1208 GOLDEN GATE DRIVE PAPILLION NE,1183,-96.04181901,41.14158799,SARPY COUNTY JAIL,PAPILLION,SARPY,NE,68046,8,SPM,OMA,IGSA,IGSA,Yes,Female/Male,0,,0,2/12/11,12/2/90,1990,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
SBARBCA,4436 CALLE REAL SANTA BARBRA CA,1173,-119.7763682,34.44239236,SANTA BARBRA COUNTY JAIL,SANTA BARBRA,SANTA BARBRA,CA,93110,9,LOS,,Other,Other,Yes,Female/Male,0,,0,10/19/99,1/5/99,1999,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,,,,No,,0
SBDHOLD,655 WEST RIALTO AVENUE SAN BERNADINO CA,1145,-117.382723,34.09946084,SAN BERNADINO HOLD ROOM,SAN BERNADINO,SAN BERNARDINO,CA,92410,9,LOS,SBD,Other,HOLD,Yes,Female/Male,0,,2,11/3/17,11/6/08,2008,4,0,1,,,FEDERAL,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,18
SBERNCA,630 EAST RIALTO AVENUE SAN BERNARDINO CA,1146,-117.2732466,34.10152924,SAN BERNARDINO COUNTY JAIL,SAN BERNARDINO,SAN BERNARDINO,CA,92408,9,LOS,SBD,USMS IGA,USMS IGA,Yes,Female/Male,0,,0,1/28/14,12/19/89,1989,0,0,0,NO,,COUNTY (SHERIFF),COUNTY,7/12/96,NA,#VALUE!,NA,$80.00 ,,NOT INSPECTED,DMCP,Under 72,Local Standards,,No,Acceptable,,9/18/15,,2008 DEFICIENT,Yes,NO,NO,NO,No,NONE,0
SCHNENY,320 VEEDER AVENUE SCHNECTADY NY,1187,-73.94035796,42.80951401,SCHNECTADY COUNTY JAIL,SCHNECTADY,SCHENECTADY,NY,12307,2,BUF,BUF,IGSA,IGSA,Yes,Female/Male,0,,0,6/5/07,2/23/96,1996,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
SCHOHNY,MAIN STREET PO BOX  332 SCHOHARIE NY,1188,-74.31058856,42.66515782,SCHOHARIE COUNTY JAIL,SCHOHARIE,SCHOHARIE,NY,12157,2,BUF,BUF,IGSA,IGSA,Yes,Female/Male,0,,0,2/5/04,3/26/01,2001,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
SCMENCA,ELMWOOD MEN'S FACILITY MILPITAS CA,1174,-121.89702,37.43286,SANTA CLARA CO JAIL/MENS,MILPITAS,SANTA CLARA,CA,95035,9,SFR,SFR,IGSA,IGSA,Yes,Female/Male,0,,0,4/4/99,4/27/98,1998,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
SCNORCA,885 NORTH SAN PEDRO ST SAN JOSE CA,1176,-121.9054607,37.35172849,SANTA CLARA COUNTY MAIN JAIL,SAN JOSE,SANTA CLARA,CA,95110,9,SFR,SFR,USMS IGA,USMS IGA,Yes,Female/Male,0,,0,6/14/12,7/20/95,1995,0,0,0,NO,,COUNTY,,5/8/98,NA,#VALUE!,NA,$103 (males) $79 (females),,NOT INSPECTED,DMCP,Over 72,,,No,Acceptable,Acceptable,2/2/10,,,No,NO,NO,NO,No,,0
SCOTTMN,301 FULLER STREET SOUTH SHAKOPEE MN,1191,-93.52688697,44.79614199,SCOTT COUNTY JAIL,SHAKOPEE,SCOTT,MN,55372,8,SPM,SPM,IGSA,IGSA,Yes,Female/Male,0,,0,3/2/03,12/30/91,1991,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0
SCOTTMO,211 S. NEW MADRID ST. BENTON MO,1190,-89.56350264,37.10050814,SCOTT COUNTY JAIL,BENTON,SCOTT,MO,63786,8,CHI,STL,IGSA,IGSA,Yes,Female/Male,0,,0,3/31/14,12/3/09,2009,0,0,0,YES,ADVANCED CORRECTIONAL HEALTHCARE,COUNTY (SHERIFF),COUNTY,3/25/09,NA,#VALUE!,NA,$51.60 ,Pro-bono Platform (Talton),NOT INSPECTED,DMCP,Over 72,NDS,,No,Acceptable,Not Rated,9/11/13,,,No,NO,NO,NO,No,,0
SCOTTNE,1725 10TH ST GERING NE,1192,-103.66071,41.82648998,SCOTTS BLUFF COUNTY JAIL,GERING,SCOTTS BLUFF,NE,69341,8,SPM,OMA,USMS IGA,USMS IGA,Yes,Female/Male,0,,0,11/4/17,10/26/92,1992,1,0,0,YES,,COUNTY,,NA,NA,#VALUE!,NA,$59.00 ,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,6
SCRUZAZ,1250 NORTH HOHOKAM DRIVE NOGALES AZ,1177,-110.92794,31.35612,SANTA CRUZ COUNTY JAIL,NOGALES,SANTA CRUZ,AZ,85621,9,PHO,TUC,USMS IGA,USMS IGA,Yes,Female/Male,0,,0,4/21/09,5/22/90,1990,0,0,0,YES,COUNTY,COUNTY (SHERIFF),COUNTY,9/1/90,NA,#VALUE!,NA,$65.00 ,,AUTHORIZED,DMCP,Under 72,NDS,,No,Acceptable,,9/8/17,Acceptable,2007 and 2008 DEFICIENT,Yes,NO,NO,NO,No,NONE,0
SCRUZCA,259 WATER STREET SANTA CRUZ CA,1178,-122.023814,36.97987399,SANTA CRUZ COUNTY MAIN JAIL,SANTA CRUZ,SANTA CRUZ,CA,95060,9,SFR,SFR,IGSA,IGSA,Yes,Female/Male,0,,0,9/23/99,9/1/99,1999,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
SCSOUCA,SANTA CLARA COUNTY JAIL/SOUTH SAN JOSE CA,1175,-121.906145,37.351526,SANTA CLARA COUNTY JAIL,SAN JOSE,SANTA CLARA,CA,95110,9,SFR,SFR,IGSA,IGSA,Yes,Female/Male,0,,0,5/2/02,10/2/97,1997,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
SDHOSCA,751 MED. CENTER CT CHULA VISTA CA,1148,-117.023509,32.618931,SAN DIEGO AREA HOSPITAL,CHULA VISTA,SAN DIEGO,CA,91911,9,SND,SND,Other,HOSPITAL,No,Female/Male,0,,0,8/24/16,10/10/07,2007,0,0,0,,,HOSPITAL,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,OTHER,,,,No,,,,,,No,NO,NO,NO,No,,0
SDPROCA,3977 OHIO STREET SAN DIEGO CA,1124,-117.128558,32.74996998,S.D. COUNTY PROBATION,SAN DIEGO,SAN DIEGO,CA,92104,9,SND,SND,Other,Other,Yes,Female/Male,0,,0,9/1/98,9/1/98,1998,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
SEAHOLD,12500 TUKWILLA INTL. SEATTLE WA,1197,-122.291186,47.490509,SEATTLE FIELD OFFICE HOLD ROOM,SEATTLE,KING,WA,98168,9,SEA,SEA,Other,HOLD,Yes,Male,0,,0,10/19/17,7/5/01,2001,3,0,0,,,FEDERAL,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,6
SEAICDF,815 AIRPORT WAY SOUTH SEATTLE WA,1196,-122.3270723,47.59539594,SEATTLE CONTRACT DETENTION,SEATTLE,KING,WA,98134,9,SEA,SEA,Other,Other,Yes,Female/Male,0,,0,10/19/07,4/17/89,1989,0,0,0,,,FEDERAL,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
SEBASAR,801 SOUTH A STREET FORT SMITH AR,1198,-94.42504301,35.38250202,SEBASTIAN COUNTY DETENTION CENTER,FORT SMITH,SEBASTIAN,AR,72901,8,NOL,FSA,USMS IGA,USMS IGA,Yes,Male,20,17%,3,11/4/17,1/7/98,1998,8,1,2,YES,COUNTY,COUNTY (SHERIFF),COUNTY,5/17/01,NA,#VALUE!,NA,$53.00 ,Pro-bono Platform (Talton),AUTHORIZED,DMCP,Under 72,NDS,,No,Acceptable,,8/29/17,Acceptable,2008 and 2009 DEFICIENT,Yes,NO,NO,NO,No,NONE,35
SEBJVAR,801 SOUTH A ST. FORT SMITH AR,1199,-94.42504301,35.38250202,SEBASTIAN COUNTY JUVENILE,FORT SMITH,SEBASTIAN,AR,72901,8,NOL,OKC,IGSA,JUVENILE,Yes,Female/Male,0,,0,1/24/07,2/14/05,2005,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,JFRMU,,,,No,,,,,,No,NO,NO,NO,No,,0
SEDGWKS,141 W. ELM WICHITA KS,1200,-97.33981598,37.694627,SEDGWICK COUNTY JAIL,WICHITA,SEDGWICK,KS,67203,10,CHI,KAN,IGSA,IGSA,Yes,Female/Male,0,,0,5/20/07,2/21/91,1991,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,Yes,Special Review - Pre-Occupancy,Special Review - Pre-Occupancy,5/4/16,,2007 DEFICIENT,Yes,NO,NO,NO,No,,0
SEH,1100 ALABAMA AVENUE SOUTHEAST WASHINGTON DC,1248,-76.98840747,38.8482733,ST. ELIZABETH'S HOSPITAL (DC),WASHINGTON,DISTRICT OF COLUMBIA,DC,20032,4,WAS,WAS,Other,HOSPITAL,No,Female/Male,0,,0,4/9/95,6/6/80,1980,0,0,0,,,HOSPITAL,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,OTHER,,,,No,,,,,,No,NO,NO,NO,No,,0
SENECNY,44 W. WILLIAM ST. CORNING NY,1201,-77.06249189,42.14990303,SENECA COUNTY JAIL,CORNING,STEUBEN,NY,14830,2,BUF,BUF,IGSA,IGSA,Yes,Female/Male,0,,0,5/7/14,6/18/09,2009,0,0,0,NO,,COUNTY,,NA,NA,#VALUE!,NA,$90.00 ,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
SENECOH,3040 SOUTH STATE HIGHWAY 100 TIFFIN OH,1202,-83.15397401,41.07942499,SENECA COUNTY JAIL,TIFFIN,SENECA,OH,44883,6,DET,CLE,IGSA,IGSA,Yes,Female/Male,0,,80,11/4/17,3/22/96,1996,95,28,57,YES,COUNTY/CORRECTIONAL HEALTHCARE,COUNTY (SHERIFF),COUNTY,9/28/07,NA,#VALUE!,NA,$58.00 ,Pro-bono Platform (Talton),AUTHORIZED,DMCP,Over 72,NDS,,No,Acceptable,Acceptable,10/5/17,Acceptable,2007 DEFICIENT,Yes,NO,NO,NO,Yes,ROVING,35
SEWARKS,112 E. 5TH LIBERAL KS,1203,-100.9209607,37.04267004,SEWARD COUNTY JAIL,LIBERAL,SEWARD,KS,67901,10,CHI,KAN,IGSA,IGSA,Yes,Female/Male,0,,0,6/5/07,11/25/91,1991,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,Good,At-Risk,1/15/08,,,No,NO,NO,NO,No,,0
SFCOJCA,425 7TH STREET SAN FRANCISCO CA,1152,-122.405221,37.774947,SAN FRANCISCO COUNTY JAIL,SAN FRANCISCO,SAN FRANCISCO,CA,94103,9,SFR,SFR,IGSA,IGSA,Yes,Female/Male,0,,0,6/12/92,12/1/89,1989,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
SFCORNM,4312 STATE HIGHWAY 14 SANTA FE NM,1179,-106.0536258,35.56185525,SANTA FE CORNELL DETENTION,SANTA FE,SANTA FE,NM,87508,10,ELP,ELP,IGSA,IGSA,Yes,Female/Male,0,,0,3/25/12,1/8/99,1999,0,0,0,YES,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0
SFDHOLD,300 EAST 8TH STREET SIOUX FALLS SD,1220,-96.72388999,43.5487082,SIOUX FALLS HOLD ROOM,SIOUX FALLS,MINNEHAHA,SD,57103,8,SPM,SPM,Other,HOLD,Yes,Female/Male,0,,0,6/17/17,5/4/11,2011,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0
SFJUVOK,RT 2 STROUD OK,1125,-96.65577,35.74905,SAC & FOX NATION JUVENILE DETENTION,STROUD,LINCOLN,OK,74079,10,DAL,OKC,IGSA,JUVENILE,Yes,Female/Male,0,,0,5/1/05,4/30/98,1998,0,0,0,,,OTHER,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,JFRMU,,,,No,,,,,,No,NO,NO,NO,No,,0
SFRHOLD,630 SANSOME ST. SAN FRANCISCO CA,1204,-122.401444,37.79623,SFR HOLD ROOM,SAN FRANCISCO,SAN FRANCISCO,CA,94111,9,SFR,SFR,Other,HOLD,Yes,Female/Male,0,,0,10/16/17,3/15/08,2008,17,0,0,,,FEDERAL,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,5
SGUHOLD,UNAVAILABLE SAINT GEORGE UT,1133,-113.58412,37.10415,SAINT GEORGE HOLD ROOM,SAINT GEORGE,WASHINGTON,UT,84770,10,SLC,SGU,Other,HOLD,Yes,Female/Male,0,,0,NA,NA,#VALUE!,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0
SHACOKS,501 SOUTHEAST 8TH AVENUE TOPEKA KS,1205,-95.66870102,39.046459,SHAWNEE COUNTY DEPARTMENT OF CORRECTIONS,TOPEKA,SHAWNEE,KS,66607,10,CHI,KAN,IGSA,IGSA,Yes,Female/Male,0,,15,11/4/17,9/11/98,1998,20,10,6,YES,CORIZON HEALTH,COUNTY (CORRECTIONS),COUNTY,1/10/97,NA,#VALUE!,NA,$67.85 ,Pro-bono Platform (Talton),AUTHORIZED,DMCP,Over 72,NDS,,No,Acceptable,,9/5/17,Acceptable,2007 and 2008 DEFICIENT,Yes,NO,YES,NO,No,NONE,35
SHAJUKS,401 SE 8TH STREET TOPEKA KS,1206,-95.66989603,39.04675099,SHAWNEE COUNTY JUVENILE DETENTION CENTER,TOPEKA,SHAWNEE,KS,66607,10,CHI,KAN,IGSA,JUVENILE,Yes,Female/Male,0,,0,9/12/17,3/10/99,1999,0,0,0,YES,COUNTY,COUNTY,,NA,NA,#VALUE!,NA,$164.35 ,,AUTHORIZED,JFRMU,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0
